what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1515036765562
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515036767388
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515036768595
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1515036769087
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515036807055
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515036807153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1515036810774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036811256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036832457
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1515036832472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036833447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036878544
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515036878744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1515036886816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036907183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036913240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036935063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036936123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1515036936150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036946294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1515036948541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1515036948725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1515036948877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1515036949028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1515036949181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1515036949330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1515036949487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036986270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515036996648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515037000432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515037011020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515037011943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1515037011984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515037038954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515037038961
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515037048629
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515037048862
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515037067927
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515037079810
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515037094025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515037096494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515037098208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1515037098391
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1515037137109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515037166548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1515037180878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1515037197728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1515037198367
